,logM,a,alpha
1762,-0.452891559817378,4.418118733865497,0.0014859604421736993
1763,-0.452891559817378,4.4868649442831385,0.0015090820818088994
1764,-0.452891559817378,4.55561115470078,0.0015322037214440995
1765,-0.452891559817378,4.6243573651184215,0.0015553253610792997
1766,-0.452891559817378,4.693103575536063,0.0015784470007144998
1767,-0.452891559817378,4.761849785953705,0.0016015686403497
1768,-0.452891559817378,4.830595996371346,0.0016246902799849
1769,-0.452891559817378,4.899342206788988,0.0016478119196201002
1770,-0.452891559817378,4.96808841720663,0.0016709335592553006
1771,-0.452891559817378,5.0368346276242715,0.001694055198890501
1772,-0.452891559817378,5.105580838041913,0.001717176838525701
1773,-0.452891559817378,5.1743270484595545,0.0017402984781609012
1774,-0.452891559817378,5.243073258877196,0.0017634201177961014
1775,-0.452891559817378,5.3118194692948375,0.0017865417574313015
1776,-0.452891559817378,5.380565679712479,0.0018096633970665016
1777,-0.452891559817378,5.4493118901301205,0.0018327850367017018
1778,-0.452891559817378,5.518058100547762,0.001855906676336902
1779,-0.452891559817378,5.5868043109654035,0.001879028315972102
1780,-0.452891559817378,5.655550521383046,0.0019021499556073024
1781,-0.452891559817378,5.724296731800687,0.0019252715952425025
1782,-0.452891559817378,5.793042942218329,0.0019483932348777027
1783,-0.452891559817378,5.8617891526359704,0.001971514874512903
1784,-0.452891559817378,5.930535363053612,0.001994636514148103
1785,-0.452891559817378,5.9992815734712535,0.002017758153783303
1786,-0.452891559817378,6.068027783888895,0.0020408797934185034
1787,-0.452891559817378,6.1367739943065365,0.0020640014330537033
1788,-0.452891559817378,6.205520204724178,0.0020871230726889037
1789,-0.452891559817378,6.2742664151418195,0.0021102447123241036
1790,-0.452891559817378,6.343012625559461,0.002133366351959304
1791,-0.452891559817378,6.411758835977103,0.0021564879915945043
1792,-0.452891559817378,6.480505046394745,0.0021796096312297042
1793,-0.452891559817378,6.549251256812386,0.0022027312708649046
1794,-0.452891559817378,6.617997467230028,0.0022258529105001045
1795,-0.452891559817378,6.686743677647669,0.002248974550135305
1796,-0.452891559817378,6.755489888065311,0.002272096189770505
1797,-0.452891559817378,6.824236098482952,0.002295217829405705
1798,-0.452891559817378,6.892982308900594,0.002318339469040905
1799,-0.452891559817378,6.961728519318235,0.0023414611086761054
1800,-0.33235369105362533,0.15585368797171803,6.918705061180618e-05
1801,-0.33235369105362533,0.22459989838935962,9.970508070422437e-05
1802,-0.33235369105362533,0.2933461088070012,0.00013022311079664256
1803,-0.33235369105362533,0.3620923192246428,0.00016074114088906075
1804,-0.33235369105362533,0.4308385296422844,0.00019125917098147897
1805,-0.33235369105362533,0.49958474005992604,0.00022177720107389718
1806,-0.33235369105362533,0.5683309504775675,0.00025229523116631535
1807,-0.33235369105362533,0.6370771608952092,0.00028281326125873354
1808,-0.33235369105362533,0.7058233713128508,0.0003133312913511517
1809,-0.33235369105362533,0.7745695817304924,0.00034384932144356997
1810,-0.33235369105362533,0.843315792148134,0.00037436735153598816
1811,-0.33235369105362533,0.9120620025657755,0.0004048853816284063
1812,-0.33235369105362533,0.9808082129834171,0.00043540341172082454
1813,-0.33235369105362533,1.0495544234010588,0.00046592144181324273
1814,-0.33235369105362533,1.1183006338187003,0.0004964394719056609
1815,-0.33235369105362533,1.187046844236342,0.0005269575019980792
1816,-0.33235369105362533,1.2557930546539835,0.0005574755320904973
1817,-0.33235369105362533,1.324539265071625,0.0005879935621829154
1818,-0.33235369105362533,1.3932854754892667,0.0006185115922753337
1819,-0.33235369105362533,1.4620316859069082,0.0006490296223677518
1820,-0.33235369105362533,1.53077789632455,0.0006795476524601701
1821,-0.33235369105362533,1.5995241067421915,0.0007100656825525883
1822,-0.33235369105362533,1.668270317159833,0.0007405837126450064
1823,-0.33235369105362533,1.7370165275774747,0.0007711017427374247
1824,-0.33235369105362533,1.8057627379951162,0.0008016197728298428
1825,-0.33235369105362533,1.8745089484127577,0.000832137802922261
1826,-0.33235369105362533,1.9432551588303995,0.0008626558330146792
1827,-0.33235369105362533,2.0120013692480407,0.0008931738631070973
1828,-0.33235369105362533,2.0807475796656822,0.0009236918931995155
1829,-0.33235369105362533,2.149493790083324,0.0009542099232919338
1830,-0.33235369105362533,2.2182400005009657,0.000984727953384352
1831,-0.33235369105362533,2.286986210918607,0.0010152459834767702
1832,-0.33235369105362533,2.3557324213362487,0.0010457640135691883
1833,-0.33235369105362533,2.4244786317538902,0.0010762820436616065
1834,-0.33235369105362533,2.4932248421715317,0.0011068000737540246
1835,-0.33235369105362533,2.5619710525891737,0.001137318103846443
1836,-0.33235369105362533,2.630717263006815,0.001167836133938861
1837,-0.33235369105362533,2.6994634734244567,0.0011983541640312792
1838,-0.33235369105362533,2.768209683842098,0.0012288721941236974
1839,-0.33235369105362533,2.8369558942597397,0.0012593902242161155
1840,-0.33235369105362533,2.9057021046773817,0.0012899082543085339
1841,-0.33235369105362533,2.974448315095023,0.001320426284400952
1842,-0.33235369105362533,3.0431945255126647,0.0013509443144933703
1843,-0.33235369105362533,3.111940735930306,0.0013814623445857885
1844,-0.33235369105362533,3.1806869463479477,0.0014119803746782066
1845,-0.33235369105362533,3.249433156765589,0.0014424984047706247
1846,-0.33235369105362533,3.318179367183231,0.001473016434863043
1847,-0.33235369105362533,3.3869255776008726,0.0015035344649554612
1848,-0.33235369105362533,3.455671788018514,0.0015340524950478794
1849,-0.33235369105362533,3.5244179984361557,0.0015645705251402975
1850,-0.33235369105362533,3.593164208853797,0.0015950885552327156
1851,-0.33235369105362533,3.661910419271439,0.001625606585325134
1852,-0.33235369105362533,3.7306566296890806,0.0016561246154175521
1853,-0.33235369105362533,3.799402840106722,0.0016866426455099703
1854,-0.33235369105362533,3.8681490505243636,0.0017171606756023884
1855,-0.33235369105362533,3.936895260942005,0.0017476787056948067
1856,-0.33235369105362533,4.005641471359647,0.001778196735787225
1857,-0.33235369105362533,4.074387681777289,0.0018087147658796432
1858,-0.33235369105362533,4.14313389219493,0.0018392327959720614
1859,-0.33235369105362533,4.2118801026125725,0.00186975082606448
1860,-0.33235369105362533,4.280626313030214,0.001900268856156898
1861,-0.33235369105362533,4.3493725234478555,0.0019307868862493162
1862,-0.33235369105362533,4.418118733865497,0.0019613049163417343
1863,-0.33235369105362533,4.4868649442831385,0.0019918229464341527
1864,-0.33235369105362533,4.55561115470078,0.0020223409765265706
1865,-0.33235369105362533,4.6243573651184215,0.002052859006618989
1866,-0.33235369105362533,4.693103575536063,0.002083377036711407
1867,-0.33235369105362533,4.761849785953705,0.0021138950668038252
1868,-0.33235369105362533,4.830595996371346,0.002144413096896243
1869,-0.33235369105362533,4.899342206788988,0.0021749311269886615
1870,-0.33235369105362533,4.96808841720663,0.00220544915708108
1871,-0.33235369105362533,5.0368346276242715,0.0022359671871734982
1872,-0.33235369105362533,5.105580838041913,0.002266485217265916
1873,-0.33235369105362533,5.1743270484595545,0.0022970032473583345
1874,-0.33235369105362533,5.243073258877196,0.0023275212774507524
1875,-0.33235369105362533,5.3118194692948375,0.0023580393075431708
1876,-0.33235369105362533,5.380565679712479,0.002388557337635589
1877,-0.33235369105362533,5.4493118901301205,0.002419075367728007
1878,-0.33235369105362533,5.518058100547762,0.0024495933978204254
1879,-0.33235369105362533,5.5868043109654035,0.0024801114279128433
1880,-0.33235369105362533,5.655550521383046,0.002510629458005262
1881,-0.33235369105362533,5.724296731800687,0.00254114748809768
1882,-0.33235369105362533,5.793042942218329,0.0025716655181900984
1883,-0.33235369105362533,5.8617891526359704,0.0026021835482825163
1884,-0.33235369105362533,5.930535363053612,0.0026327015783749346
1885,-0.33235369105362533,5.9992815734712535,0.0026632196084673525
1886,-0.33235369105362533,6.068027783888895,0.002693737638559771
1887,-0.33235369105362533,6.1367739943065365,0.0027242556686521893
1888,-0.33235369105362533,6.205520204724178,0.002754773698744607
1889,-0.33235369105362533,6.2742664151418195,0.0027852917288370255
1890,-0.33235369105362533,6.343012625559461,0.0028158097589294434
1891,-0.33235369105362533,6.411758835977103,0.0028463277890218622
1892,-0.33235369105362533,6.480505046394745,0.00287684581911428
1893,-0.33235369105362533,6.549251256812386,0.0029073638492066985
1894,-0.33235369105362533,6.617997467230028,0.0029378818792991164
1895,-0.33235369105362533,6.686743677647669,0.0029683999093915348
1896,-0.33235369105362533,6.755489888065311,0.0029989179394839527
1897,-0.33235369105362533,6.824236098482952,0.003029435969576371
1898,-0.33235369105362533,6.892982308900594,0.003059953999668789
1899,-0.33235369105362533,6.961728519318235,0.0030904720297612073
1900,-0.21181582228987275,0.15585368797171803,9.131932362453681e-05
1901,-0.21181582228987275,0.22459989838935962,0.00013159977844590958
1902,-0.21181582228987275,0.2933461088070012,0.00017188023326728232
1903,-0.21181582228987275,0.3620923192246428,0.00021216068808865512
1904,-0.21181582228987275,0.4308385296422844,0.0002524411429100279
1905,-0.21181582228987275,0.49958474005992604,0.0002927215977314007
1906,-0.21181582228987275,0.5683309504775675,0.0003330020525527734
1907,-0.21181582228987275,0.6370771608952092,0.0003732825073741462
1908,-0.21181582228987275,0.7058233713128508,0.000413562962195519
1909,-0.21181582228987275,0.7745695817304924,0.0004538434170168917
1910,-0.21181582228987275,0.843315792148134,0.0004941238718382645
1911,-0.21181582228987275,0.9120620025657755,0.0005344043266596372
1912,-0.21181582228987275,0.9808082129834171,0.00057468478148101
1913,-0.21181582228987275,1.0495544234010588,0.0006149652363023828
1914,-0.21181582228987275,1.1183006338187003,0.0006552456911237555
1915,-0.21181582228987275,1.187046844236342,0.0006955261459451284
1916,-0.21181582228987275,1.2557930546539835,0.0007358066007665011
1917,-0.21181582228987275,1.324539265071625,0.0007760870555878738
1918,-0.21181582228987275,1.3932854754892667,0.0008163675104092467
1919,-0.21181582228987275,1.4620316859069082,0.0008566479652306194
1920,-0.21181582228987275,1.53077789632455,0.0008969284200519922
1921,-0.21181582228987275,1.5995241067421915,0.000937208874873365
1922,-0.21181582228987275,1.668270317159833,0.0009774893296947377
1923,-0.21181582228987275,1.7370165275774747,0.0010177697845161105
1924,-0.21181582228987275,1.8057627379951162,0.0010580502393374833
1925,-0.21181582228987275,1.8745089484127577,0.0010983306941588558
1926,-0.21181582228987275,1.9432551588303995,0.0011386111489802289
1927,-0.21181582228987275,2.0120013692480407,0.0011788916038016014
1928,-0.21181582228987275,2.0807475796656822,0.001219172058622974
1929,-0.21181582228987275,2.149493790083324,0.001259452513444347
1930,-0.21181582228987275,2.2182400005009657,0.0012997329682657198
1931,-0.21181582228987275,2.286986210918607,0.0013400134230870924
1932,-0.21181582228987275,2.3557324213362487,0.0013802938779084652
1933,-0.21181582228987275,2.4244786317538902,0.001420574332729838
1934,-0.21181582228987275,2.4932248421715317,0.0014608547875512106
1935,-0.21181582228987275,2.5619710525891737,0.0015011352423725836
1936,-0.21181582228987275,2.630717263006815,0.0015414156971939564
1937,-0.21181582228987275,2.6994634734244567,0.001581696152015329
1938,-0.21181582228987275,2.768209683842098,0.0016219766068367018
1939,-0.21181582228987275,2.8369558942597397,0.0016622570616580746
1940,-0.21181582228987275,2.9057021046773817,0.0017025375164794474
1941,-0.21181582228987275,2.974448315095023,0.0017428179713008202
1942,-0.21181582228987275,3.0431945255126647,0.001783098426122193
1943,-0.21181582228987275,3.111940735930306,0.0018233788809435656
1944,-0.21181582228987275,3.1806869463479477,0.0018636593357649384
1945,-0.21181582228987275,3.249433156765589,0.0019039397905863112
1946,-0.21181582228987275,3.318179367183231,0.001944220245407684
1947,-0.21181582228987275,3.3869255776008726,0.0019845007002290567
1948,-0.21181582228987275,3.455671788018514,0.0020247811550504293
1949,-0.21181582228987275,3.5244179984361557,0.0020650616098718023
1950,-0.21181582228987275,3.593164208853797,0.002105342064693175
1951,-0.21181582228987275,3.661910419271439,0.002145622519514548
1952,-0.21181582228987275,3.7306566296890806,0.0021859029743359205
1953,-0.21181582228987275,3.799402840106722,0.002226183429157293
1954,-0.21181582228987275,3.8681490505243636,0.002266463883978666
1955,-0.21181582228987275,3.936895260942005,0.0023067443388000387
1956,-0.21181582228987275,4.005641471359647,0.0023470247936214117
1957,-0.21181582228987275,4.074387681777289,0.0023873052484427843
1958,-0.21181582228987275,4.14313389219493,0.0024275857032641573
1959,-0.21181582228987275,4.2118801026125725,0.0024678661580855303
1960,-0.21181582228987275,4.280626313030214,0.002508146612906903
1961,-0.21181582228987275,4.3493725234478555,0.002548427067728276
